@relation final_student_performance_scaled

@attribute "Attendance %" numeric
@attribute mst1 numeric
@attribute mst2 numeric
@attribute final numeric

@data
95.55555556,0.0,16.5,27.5
97.77777778,13.5,16.5,27.5
93.33333333,18.0,19.5,30.0
100.0,21.0,21.0,35.0
100.0,16.5,19.5,32.5
93.33333333,18.0,18.0,32.5
100.0,19.5,18.0,32.5
97.77777778,15.0,19.5,32.5
100.0,22.5,24.0,42.5
100.0,18.0,18.0,32.5
97.77777778,21.0,21.0,35.0
100.0,15.0,18.0,32.5
100.0,18.0,19.5,30.0
100.0,18.0,18.0,32.5
100.0,21.0,21.0,37.5
93.33333333,25.5,25.5,42.5
88.88888889,19.5,19.5,35.0
97.77777778,19.5,21.0,35.0
97.77777778,12.0,12.0,17.5
93.33333333,18.0,18.0,30.0
100.0,18.0,19.5,35.0
100.0,16.5,18.0,30.0
100.0,18.0,19.5,35.0
97.77777778,15.0,15.0,25.0
97.77777778,15.0,16.5,25.0
93.33333333,15.0,16.5,30.0
91.11111111,16.5,18.0,30.0
100.0,16.5,16.5,27.5
97.77777778,18.0,18.0,32.5
95.55555556,18.0,16.5,30.0
100.0,15.0,16.5,27.5
97.77777778,22.5,22.5,37.5
100.0,19.5,21.0,37.5
100.0,19.5,18.0,30.0
95.55555556,18.0,18.0,30.0
95.55555556,16.5,16.5,27.5
100.0,21.0,21.0,35.0
95.55555556,19.5,19.5,32.5
97.77777778,16.5,18.0,30.0
91.11111111,21.0,19.5,30.0
82.22222222,16.5,16.5,25.0
91.11111111,15.0,16.5,27.5
100.0,21.0,22.5,37.5
100.0,13.5,15.0,25.0
84.44444444,15.0,16.5,27.5
95.55555556,15.0,16.5,27.5
93.33333333,19.5,18.0,32.5
97.77777778,25.5,25.5,42.5
95.55555556,16.5,18.0,32.5
97.77777778,19.5,18.0,30.0
100.0,21.0,19.5,32.5
100.0,24.0,21.0,40.0
95.55555556,15.0,13.5,22.5
100.0,19.5,18.0,30.0
100.0,19.5,18.0,32.5
97.77777778,18.0,19.5,30.0
100.0,22.5,21.0,37.5
91.11111111,22.5,22.5,40.0
100.0,21.0,19.5,35.0
97.77777778,24.0,22.5,40.0
100.0,25.5,24.0,40.0
100.0,15.0,15.0,40.0
100.0,19.5,19.5,25.0
100.0,21.0,19.5,32.5
100.0,19.5,18.0,30.0
97.77777778,24.0,22.5,40.0
100.0,16.5,18.0,30.0
100.0,15.0,13.5,25.0
100.0,16.5,15.0,27.5
93.33333333,22.5,22.5,37.5
97.77777778,19.5,16.5,27.5
100.0,16.5,13.5,25.0
97.77777778,19.5,16.5,27.5
100.0,19.5,19.5,35.0
95.55555556,16.5,16.5,27.5
